구별,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
서울시,44,25,0.025,0.03,0.5,0.005
종로구,40,24,0.026,0.034,0.6,0.004
중구,40,24,0.025,0.035,0.5,0.004
용산구,39,25,0.02,0.029,0.4,0.004
성동구,48,25,0.021,0.029,0.5,0.004
광진구,42,25,0.028,0.031,0.6,0.004
동대문구,44,22,0.022,0.029,0.5,0.005
중랑구,45,25,0.023,0.029,0.4,0.006
성북구,47,26,0.023,0.033,0.6,0.004
강북구,37,22,0.031,0.024,0.5,0.004
도봉구,44,24,0.027,0.026,0.5,0.005
노원구,42,25,0.028,0.03,0.5,0.004
은평구,44,23,0.028,0.026,0.6,0.004
서대문구,46,24,0.025,0.027,0.5,0.005
마포구,41,28,0.026,0.03,0.5,0.004
양천구,43,28,0.022,0.031,0.5,0.005
강서구,47,24,0.027,0.032,0.5,0.006
구로구,45,25,0.023,0.023,0.5,0.006
금천구,41,26,0.026,0.032,0.5,0.004
영등포구,49,24,0.026,0.03,0.7,0.005
동작구,42,25,0.027,0.031,0.5,0.004
관악구,43,26,0.025,0.032,0.5,0.006
서초구,47,24,0.025,0.028,0.5,0.005
강남구,44,25,0.02,0.03,0.4,0.005
송파구,45,23,0.025,0.029,0.6,0.005
강동구,48,24,0.023,0.031,0.5,0.004
