지역별,소계, 2012년 , 2013년 , 2014년 , 2015년 , 2016년 
서울,"16,968","3,800","3,534","3,344","3,433","2,857"
인천,"6,539","1,572","1,383","1,232","1,249","1,103"
경기,"30,168","7,106","6,485","5,713","5,963","4,901"
강원,"4,881","1,235","1,066",911,961,708
대전,"3,967",920,917,742,730,658
충북,"5,418","1,237","1,174","1,040","1,098",869
충남,"7,813","1,840","1,608","1,504","1,562","1,299"
세종,0,,,,,
광주,"4,776","1,197","1,051",905,861,762
전북,"5,669","2,067","1,026",887,929,760
전남,"6,169","1,574","1,332","1,167","1,189",907
대구,"5,895","1,379","1,263","1,205","1,119",929
경북,"8,362","2,067","1,728","1,678","1,611","1,278"
부산,"5,317","1,251","1,193","1,021","1,049",803
울산,"4,019",892,863,866,801,597
경남,"6,886","1,574","1,550","1,413","1,378",971
제주,"2,120",458,416,415,466,365
