구분,"총인구
('16.11.1)
(A)","비율
(B/A)",계,남,여
전국,51269554,0.034,1764664,946561,818103
서울,9805506,0.041,404037,189361,214676
부산,3440484,0.017,59872,31901,27971
대구,2461002,0.016,40251,21407,18844
인천,2913024,0.032,94670,50587,44083
광주,1501557,0.021,31162,15945,15217
대전,1535445,0.017,26656,11817,14839
울산,1166033,0.031,35929,20768,15161
세종,242507,0.025,6084,3351,2733
수원,1207032,0.045,54284,27310,26974
성남,951518,0.031,29199,13686,15513
의정부,424722,0.017,7248,3144,4104
안양,582049,0.022,12568,5811,6757
부천,844043,0.039,33081,15798,17283
광명,334361,0.031,10269,4681,5588
평택,472254,0.061,28999,16512,12487
동두천,98625,0.05,4931,2456,2475
안산,743072,0.107,79752,43801,35951
고양,999098,0.021,21340,10412,10928
과천,60923,0.01,581,273,308
구리,183905,0.014,2527,1076,1451
남양주,641589,0.018,11545,6213,5332
오산,215478,0.062,13274,6479,6795
흥,429321,0.106,45668,25768,19900
군포,284301,0.039,11113,5482,5631
의왕,153629,0.015,2281,1165,1116
하남,195422,0.017,3351,1722,1629
용인,982590,0.027,26317,14244,12073
파주,423957,0.039,16478,10222,6256
이천,214766,0.045,9731,5524,4207
안성,196362,0.074,14602,9015,5587
김포,365770,0.069,25133,18052,7081
화성,655350,0.074,48457,32926,15531
광주,322302,0.055,17626,11134,6492
양주,207009,0.056,11550,7831,3719
포천,162698,0.112,18271,12933,5338
여주,110273,0.044,4871,2806,2065
연천군,44437,0.037,1635,1007,628
가평군,59391,0.034,2019,850,1169
양평군,105709,0.025,2683,1168,1515
춘천,283027,0.018,5223,2289,2934
원주,337479,0.017,5731,2803,2928
강릉,215977,0.014,3128,1553,1575
동해,89527,0.013,1166,539,627
태백,45708,0.011,518,195,323
속초,79109,0.018,1461,787,674
삼척,69364,0.017,1198,613,585
홍천군,66791,0.028,1847,948,899
횡성군,42927,0.03,1293,692,601
영월군,37019,0.021,767,311,456
평창군,40470,0.021,848,384,464
정선군,36233,0.02,724,245,479
철원군,45433,0.028,1269,673,596
화천군,24820,0.02,504,214,290
양구군,22454,0.025,564,212,352
인제군,30759,0.024,725,352,373
고성군,28984,0.034,971,582,389
양양군,25670,0.021,532,259,273
충주,211890,0.034,7116,4007,3109
제천,137022,0.021,2938,1364,1574
청주,840338,0.023,19111,9732,9379
천안,638752,0.044,27972,15974,11998
공주,112928,0.029,3275,1507,1768
보령,101161,0.038,3885,2611,1274
아산,328287,0.069,22741,13584,9157
서산,169643,0.038,6510,3469,3041
논산,124202,0.047,5881,2918,2963
계룡,40576,0.009,371,159,212
당진,166043,0.051,8396,5234,3162
전주,657766,0.015,10179,4514,5665
군산,276394,0.031,8498,4985,3513
익산,300929,0.025,7500,3599,3901
정읍,109968,0.034,3760,2011,1749
남원,80076,0.025,1969,793,1176
김제,82888,0.037,3095,1821,1274
목포,237484,0.02,4721,2387,2334
여수,273925,0.023,6292,3835,2457
순천,266519,0.014,3607,1450,2157
나주,98221,0.041,4004,2077,1927
광양,144364,0.021,3044,1335,1709
포항,510360,0.016,8384,4511,3873
경주,262769,0.053,13941,8711,5230
김천,139709,0.023,3256,1708,1548
안동,167664,0.015,2492,1053,1439
구미,422237,0.021,9030,4848,4182
영주,108950,0.016,1786,809,977
영천,97295,0.045,4420,3047,1373
상주,99484,0.021,2077,886,1191
문경,71038,0.022,1528,637,891
경산,279751,0.039,10918,6314,4604
진주,352807,0.02,7098,3875,3223
통영,136035,0.045,6180,4372,1808
사천,112394,0.04,4525,3093,1432
김해,532912,0.049,25957,18088,7869
밀양,103941,0.033,3422,1630,1792
거제,262986,0.055,14340,9777,4563
양산,310731,0.03,9310,5656,3654
창원,1053551,0.024,24881,14866,10015
제주,462286,0.033,15481,8088,7393
서귀포,161046,0.041,6621,3988,2633
